Jahr;Brutto-Stromverbrauch in TWh;Onshore-Windkraftanlagen;;;;;Offshore-Windkraftanlagen;;;;
;;Installierte Leistung in MW;Windstrom Erzeugung in GWh;Anteil am Brutto-Stromverbrauch in %;Vermiedene CO2 -Emissionen (in 1000 t CO2-Äquivalent);Anzahl WKA[13];Installierte Leistung in MW;Windstrom Erzeugung in GWh;Anteil am Brutto-Stromverbrauch in %;Vermiedene CO2 -Emissionen (in 1000 t CO2-Äquivalent);Anzahl WKA[14]
2022;?;58077;100164;18,2;75625;28443;8129;25123;4,6;19295;1539
2021;?;55958;90272;15,9;68156;28230;7787;24375;4,3;18721;1501
2020;552,9;54326;104796;18,9;79350;29608;7787;27306;4,9;21079;1501
2019;577,4;53193;101150;17,5;77041;29456;7528;24744;4,3;19165;1469
2018;594,9;52565;90484;15,2;62684;29213;6417;19467;3,3;13648;1305
2017;601,3;50292;88018;14,6;59130;28675;5427;17947;3;12111;1169
2016;599,9;45283;67650;11,3;45115;27270;4152;12274;2;8283;947
2015;600;41297;72340;12,1;48243;25980;3283;8284;1,4;5591;792
2014;594;37620;57026;9,6;38029;24867;994;1471;0,2;993;258
2013;606,6;32969;51819;8,5;34688;23645;508;918;0,2;622;116
2012;609,2;30711;50948;8,4;34139;23030;268;732;0,1;497;k. A.
2011;609,6;28524;49280;8,1;38209;22297;188;577;0,1;431;k. A.
2010;618,4;26823;38371;6,2;27835;21607;80;176;0,03;128;k. A.
2009;584,1;25697;39382;6,7;28724;21164;35;38;0,01;28;k. A.
2008;621,5;22794;41385;6,7;29088;20301;0;0;0;0;k. A.
2007;624,9;22116;40507;6,5;30460;19460;0;0;0;0;k. A.
2006;623,3;20474;31324;5;23665;18685;0;0;0;0;k. A.
2005;618,6;18248;27774;4,5;22587;17574;0;0;0;0;k. A.
2004;615,4;16419;26019;4,2;21525;16543;0;0;0;0;k. A.
2003;605,9;14381;19087;3,2;15828;15387;0;0;0;0;k. A.
2002;592,7;11976;16102;2,7;12786;13759;0;0;0;0;k. A.
2001;589;8738;10719;1,8;7708;11438;0;0;0;0;k. A.
2000;578,1;6097;9703;1,7;6547;9359;0;0;0;0;k. A.
1999;557,2;4435;5639;1;3290;k. A.;0;0;0;0;k. A.
1998;555,3;2877;4579;0,8;2371;k. A.;0;0;0;0;k. A.
1997;547,7;2089;3025;0,6;1426;k. A.;0;0;0;0;k. A.
1996;550,4;1549;2073;0,4;1006;k. A.;0;0;0;0;k. A.
1995;541,8;1121;1530;0,3;759;k. A.;0;0;0;0;k. A.
1994;531,1;618;927;0,2;460;k. A.;0;0;0;0;k. A.
1993;526,6;326;612;0,1;304;k. A.;0;0;0;0;k. A.
1992;531,6;174;281;0,1;139;k. A.;0;0;0;0;k. A.
1991;538,6;106;102;0,02;51;k. A.;0;0;0;0;k. A.
1990;549,9;55;72;0,01;36;k. A.;0;0;0;0;k. A.
